City,Month,Year,Inflation,CPI
SINGARAJA,desember,2012,0,0
KOTA DENPASAR,desember,2012,0.58,136.6
KOTA MATARAM,desember,2012,0.46,147
KOTA BIMA,desember,2012,0.54,146.19
MAUMERE,desember,2012,0.86,155.17
KOTA KUPANG,desember,2012,1.54,145.43
KOTA PONTIANAK,desember,2012,1.08,146.31
KOTA SINGKAWANG,desember,2012,0.62,140.41
SAMPIT,desember,2012,0.98,137.47
KOTA PALANGKA RAYA,desember,2012,1.61,144.93
TANJUNG,desember,2012,0,0
KOTA BANJARMASIN,desember,2012,0.85,143.47
KOTA BALIKPAPAN,desember,2012,0.96,144.2
KOTA SAMARINDA,desember,2012,0.42,144.87
KOTA TARAKAN,desember,2012,1.14,159.96
KOTA MANADO,desember,2012,0.1,133.73
KOTA PALU,desember,2012,1.69,142.34
BULUKUMBA,desember,2012,0,0
WATAMPONE,desember,2012,0.3,148.83
KOTA MAKASSAR,desember,2012,0.63,134.91
KOTA PARE-PARE,desember,2012,0.4,134.76
KOTA PALOPO,desember,2012,0.44,142.22
KOTA KENDARI,desember,2012,0.02,141.15
KOTA BAU-BAU,desember,2012,0,0
KOTA GORONTALO,desember,2012,0.54,139.32
MAMUJU,desember,2012,0.43,138.24
KOTA AMBON,desember,2012,0.94,140.74
KOTA TUAL,desember,2012,0,0
KOTA TERNATE,desember,2012,0.77,136.87
MANOKWARI,desember,2012,1.89,150.1
KOTA SORONG,desember,2012,0.61,153.5
MERAUKE,desember,2012,0,0
KOTA JAYAPURA,desember,2012,2.57,132.71
KOTA MEULABOH,januari,2013,0,0
KOTA BANDA ACEH,januari,2013,1.22,128.74
KOTA LHOKSEUMAWE,januari,2013,1.75,135.85
KOTA SIBOLGA,januari,2013,3.78,145.96
KOTA PEMATANG SIANTAR,januari,2013,2.01,141.92
KOTA MEDAN,januari,2013,1.21,136.79
KOTA PADANGSIDIMPUAN,januari,2013,1.29,138.79
KOTA PADANG,januari,2013,1.34,142.03
KOTA BUKITTINGGI,januari,2013,0,0
TEMBILAHAN,januari,2013,0,0
KOTA PEKANBARU,januari,2013,2,136.36
KOTA DUMAI,januari,2013,1.28,140.05
BUNGO,januari,2013,0,0
KOTA JAMBI,januari,2013,1.46,141.15
KOTA PALEMBANG,januari,2013,0.64,134.29
KOTA LUBUKLINGGAU,januari,2013,0,0
KOTA BENGKULU,januari,2013,1.17,144.02
KOTA BANDAR LAMPUNG,januari,2013,1,148.79
KOTA METRO,januari,2013,0,0
TANJUNG PANDAN,januari,2013,0,0
KOTA PANGKAL PINANG,januari,2013,1.25,150.73
KOTA BATAM,januari,2013,0.94,129.02
KOTA TANJUNG PINANG,januari,2013,1.89,137.5
DKI JAKARTA,januari,2013,0.88,134.75
KOTA BOGOR,januari,2013,0.58,135.95
KOTA SUKABUMI,januari,2013,1.09,136.69
KOTA BANDUNG,januari,2013,0.64,129.39
KOTA CIREBON,januari,2013,0.6,139.69
KOTA BEKASI,januari,2013,1.49,134.62
KOTA DEPOK,januari,2013,1.29,135.25
KOTA TASIKMALAYA,januari,2013,1.15,138.48
CILACAP,januari,2013,0,0
PURWOKERTO,januari,2013,1.63,136.25
KUDUS,januari,2013,0,0
KOTA SURAKARTA,januari,2013,1.33,126.11
KOTA SEMARANG,januari,2013,0.99,135.62
KOTA TEGAL,januari,2013,0.77,135.3
KOTA YOGYAKARTA,januari,2013,0.96,137.02
JEMBER,januari,2013,1.17,137.45
BANYUWANGI,januari,2013,0,0
SUMENEP,januari,2013,1.54,135.48
KOTA KEDIRI,januari,2013,1.05,136.03
KOTA MALANG,januari,2013,0.94,137.16
KOTA PROBOLINGGO,januari,2013,1.02,142
KOTA MADIUN,januari,2013,1.39,140.1
KOTA SURABAYA,januari,2013,0.89,136.24
KOTA TANGERANG,januari,2013,0.74,137.27
KOTA CILEGON,januari,2013,1.25,135.58
KOTA SERANG,januari,2013,1.41,141.31
SINGARAJA,januari,2013,0,0
KOTA DENPASAR,januari,2013,1.41,138.52
KOTA MATARAM,januari,2013,1.56,149.3
KOTA BIMA,januari,2013,1.42,148.27
MAUMERE,januari,2013,1.95,158.2
KOTA KUPANG,januari,2013,1.27,147.27
KOTA PONTIANAK,januari,2013,0.01,146.32
KOTA SINGKAWANG,januari,2013,1.04,141.87
SAMPIT,januari,2013,2.91,141.47
KOTA PALANGKA RAYA,januari,2013,1.63,147.29
TANJUNG,januari,2013,0,0
KOTA BANJARMASIN,januari,2013,1.14,145.11
KOTA BALIKPAPAN,januari,2013,1.09,145.77
KOTA SAMARINDA,januari,2013,2.09,147.9
KOTA TARAKAN,januari,2013,2.16,163.42
KOTA MANADO,januari,2013,-0.49,133.08
KOTA PALU,januari,2013,0.18,142.6
BULUKUMBA,januari,2013,0,0
WATAMPONE,januari,2013,0.97,150.27
KOTA MAKASSAR,januari,2013,1.19,136.52
KOTA PARE-PARE,januari,2013,1.16,136.32
KOTA PALOPO,januari,2013,0.51,142.95
KOTA KENDARI,januari,2013,0.06,141.24
KOTA BAU-BAU,januari,2013,0,0
KOTA GORONTALO,januari,2013,0.64,140.21
MAMUJU,januari,2013,0.27,138.62
KOTA AMBON,januari,2013,1.81,143.29
KOTA TUAL,januari,2013,0,0
KOTA TERNATE,januari,2013,-0.2,136.59
MANOKWARI,januari,2013,-0.75,148.97
KOTA SORONG,januari,2013,-0.98,152
MERAUKE,januari,2013,0,0
KOTA JAYAPURA,januari,2013,0.4,133.24
KOTA MEULABOH,februari,2013,0,0
KOTA BANDA ACEH,februari,2013,0.3,129.12
KOTA LHOKSEUMAWE,februari,2013,1.78,138.27
KOTA SIBOLGA,februari,2013,0.12,146.13
KOTA PEMATANG SIANTAR,februari,2013,1.16,143.57
KOTA MEDAN,februari,2013,0.8,137.88
KOTA PADANGSIDIMPUAN,februari,2013,0.3,139.2
KOTA PADANG,februari,2013,0.63,142.93
KOTA BUKITTINGGI,februari,2013,0,0
TEMBILAHAN,februari,2013,0,0
KOTA PEKANBARU,februari,2013,0.56,137.12
KOTA DUMAI,februari,2013,0.41,140.63
BUNGO,februari,2013,0,0
KOTA JAMBI,februari,2013,0.52,141.88
KOTA PALEMBANG,februari,2013,0.71,135.24
KOTA LUBUKLINGGAU,februari,2013,0,0
KOTA BENGKULU,februari,2013,0.69,145.02
KOTA BANDAR LAMPUNG,februari,2013,0.73,149.88
KOTA METRO,februari,2013,0,0
TANJUNG PANDAN,februari,2013,0,0
KOTA PANGKAL PINANG,februari,2013,1.19,152.52
KOTA BATAM,februari,2013,0.54,129.72
KOTA TANJUNG PINANG,februari,2013,0.82,138.63
DKI JAKARTA,februari,2013,0.65,135.63
KOTA BOGOR,februari,2013,0.57,136.72
KOTA SUKABUMI,februari,2013,0.93,137.96
KOTA BANDUNG,februari,2013,1.03,130.72
KOTA CIREBON,februari,2013,0.58,140.5
KOTA BEKASI,februari,2013,0.67,135.52
KOTA DEPOK,februari,2013,0.72,136.23
KOTA TASIKMALAYA,februari,2013,1,139.87
CILACAP,februari,2013,0,0
PURWOKERTO,februari,2013,0.4,136.79
KUDUS,februari,2013,0,0
KOTA SURAKARTA,februari,2013,1.03,127.41
KOTA SEMARANG,februari,2013,0.9,136.84
KOTA TEGAL,februari,2013,0.23,135.61
KOTA YOGYAKARTA,februari,2013,0.93,138.29
JEMBER,februari,2013,0.95,138.75
BANYUWANGI,februari,2013,0,0
SUMENEP,februari,2013,1,136.83
KOTA KEDIRI,februari,2013,0.94,137.31
KOTA MALANG,februari,2013,0.88,138.37
KOTA PROBOLINGGO,februari,2013,0.86,143.22
KOTA MADIUN,februari,2013,0.75,141.15
KOTA SURABAYA,februari,2013,1.03,137.64
KOTA TANGERANG,februari,2013,1.02,138.67
KOTA CILEGON,februari,2013,1.23,137.25
KOTA SERANG,februari,2013,1.1,142.87
SINGARAJA,februari,2013,0,0
KOTA DENPASAR,februari,2013,1.19,140.17
KOTA MATARAM,februari,2013,1.01,150.81
KOTA BIMA,februari,2013,1,149.76
MAUMERE,februari,2013,-0.92,156.74
KOTA KUPANG,februari,2013,0.56,148.09
KOTA PONTIANAK,februari,2013,1.04,147.84
KOTA SINGKAWANG,februari,2013,0.87,143.1
SAMPIT,februari,2013,-0.01,141.45
KOTA PALANGKA RAYA,februari,2013,-0.1,147.15
TANJUNG,februari,2013,0,0
KOTA BANJARMASIN,februari,2013,0.43,145.73
KOTA BALIKPAPAN,februari,2013,0.54,146.56
KOTA SAMARINDA,februari,2013,0.68,148.9
KOTA TARAKAN,februari,2013,0.28,163.88
KOTA MANADO,februari,2013,1.3,134.81
KOTA PALU,februari,2013,0.58,143.42
BULUKUMBA,februari,2013,0,0
WATAMPONE,februari,2013,0.51,151.04
KOTA MAKASSAR,februari,2013,0.73,137.51
KOTA PARE-PARE,februari,2013,0.67,137.24
KOTA PALOPO,februari,2013,0.7,143.95
KOTA KENDARI,februari,2013,-0.1,141.1
KOTA BAU-BAU,februari,2013,0,0
KOTA GORONTALO,februari,2013,-0.06,140.12
MAMUJU,februari,2013,0.25,138.97
KOTA AMBON,februari,2013,-2.29,140.01
KOTA TUAL,februari,2013,0,0
KOTA TERNATE,februari,2013,0.89,137.81
MANOKWARI,februari,2013,0.56,149.81
KOTA SORONG,februari,2013,1.09,153.65
MERAUKE,februari,2013,0,0
KOTA JAYAPURA,februari,2013,3.15,137.44
KOTA MEULABOH,maret,2013,0,0
KOTA BANDA ACEH,maret,2013,-0.12,128.96
KOTA LHOKSEUMAWE,maret,2013,0.46,138.9
KOTA SIBOLGA,maret,2013,-0.18,145.86
KOTA PEMATANG SIANTAR,maret,2013,0.3,144
KOTA MEDAN,maret,2013,0.42,138.46
KOTA PADANGSIDIMPUAN,maret,2013,-0.5,138.5
KOTA PADANG,maret,2013,0.34,143.42
KOTA BUKITTINGGI,maret,2013,0,0
TEMBILAHAN,maret,2013,0,0
KOTA PEKANBARU,maret,2013,0.04,137.18
KOTA DUMAI,maret,2013,-0.01,140.61
BUNGO,maret,2013,0,0
KOTA JAMBI,maret,2013,0.1,142.02
KOTA PALEMBANG,maret,2013,0.85,136.39
KOTA LUBUKLINGGAU,maret,2013,0,0
KOTA BENGKULU,maret,2013,0.72,146.06
KOTA BANDAR LAMPUNG,maret,2013,0.97,151.33
KOTA METRO,maret,2013,0,0
TANJUNG PANDAN,maret,2013,0,0
KOTA PANGKAL PINANG,maret,2013,1.7,155.12
KOTA BATAM,maret,2013,-0.27,129.37
KOTA TANJUNG PINANG,maret,2013,-0.87,137.43
DKI JAKARTA,maret,2013,0.42,136.2
KOTA BOGOR,maret,2013,1.5,138.77
KOTA SUKABUMI,maret,2013,0.24,138.29
KOTA BANDUNG,maret,2013,0.63,131.54
KOTA CIREBON,maret,2013,1.7,142.89
KOTA BEKASI,maret,2013,0.49,136.18
KOTA DEPOK,maret,2013,1.05,137.66
KOTA TASIKMALAYA,maret,2013,0.24,140.21
CILACAP,maret,2013,0,0
PURWOKERTO,maret,2013,0.44,137.39
KUDUS,maret,2013,0,0
KOTA SURAKARTA,maret,2013,1.43,129.23
KOTA SEMARANG,maret,2013,0.95,138.14
KOTA TEGAL,maret,2013,0.11,135.76
KOTA YOGYAKARTA,maret,2013,0.79,139.38
JEMBER,maret,2013,0.66,139.66
BANYUWANGI,maret,2013,0,0
SUMENEP,maret,2013,0.69,137.77
KOTA KEDIRI,maret,2013,0.5,138
KOTA MALANG,maret,2013,0.93,139.65
KOTA PROBOLINGGO,maret,2013,0.92,144.54
KOTA MADIUN,maret,2013,0.97,142.52
KOTA SURABAYA,maret,2013,0.95,138.95
KOTA TANGERANG,maret,2013,1.07,140.16
KOTA CILEGON,maret,2013,1.1,138.76
KOTA SERANG,maret,2013,1.2,144.58
SINGARAJA,maret,2013,0,0
KOTA DENPASAR,maret,2013,1.08,141.69
KOTA MATARAM,maret,2013,0.72,151.89
KOTA BIMA,maret,2013,1.19,151.54
MAUMERE,maret,2013,0.31,157.23
KOTA KUPANG,maret,2013,1.17,149.82
KOTA PONTIANAK,maret,2013,1.02,149.35
KOTA SINGKAWANG,maret,2013,0.23,143.43
SAMPIT,maret,2013,0.54,142.22
KOTA PALANGKA RAYA,maret,2013,0.44,147.8
TANJUNG,maret,2013,0,0
KOTA BANJARMASIN,maret,2013,0.19,146
KOTA BALIKPAPAN,maret,2013,0.87,147.84
KOTA SAMARINDA,maret,2013,0.12,149.08
KOTA TARAKAN,maret,2013,0.66,164.96
KOTA MANADO,maret,2013,1.52,136.86
KOTA PALU,maret,2013,-0.1,143.27
BULUKUMBA,maret,2013,0,0
WATAMPONE,maret,2013,0.17,151.29
KOTA MAKASSAR,maret,2013,0.25,137.86
KOTA PARE-PARE,maret,2013,0.07,137.33
KOTA PALOPO,maret,2013,0.62,144.84
KOTA KENDARI,maret,2013,0.22,141.41
KOTA BAU-BAU,maret,2013,0,0
KOTA GORONTALO,maret,2013,1.07,141.62
MAMUJU,maret,2013,0.89,140.21
KOTA AMBON,maret,2013,0.79,141.12
KOTA TUAL,maret,2013,0,0
KOTA TERNATE,maret,2013,0.49,138.49
MANOKWARI,maret,2013,1.06,151.4
KOTA SORONG,maret,2013,1.73,156.31
MERAUKE,maret,2013,0,0
KOTA JAYAPURA,maret,2013,-2.63,133.82
KOTA MEULABOH,april,2013,0,0
KOTA BANDA ACEH,april,2013,0.29,129.34
KOTA LHOKSEUMAWE,april,2013,0.09,139.02
KOTA SIBOLGA,april,2013,0.74,146.94
KOTA PEMATANG SIANTAR,april,2013,0.31,144.44
KOTA MEDAN,april,2013,0.74,139.48
KOTA PADANGSIDIMPUAN,april,2013,0.81,139.62
KOTA PADANG,april,2013,0.56,144.22
KOTA BUKITTINGGI,april,2013,0,0
TEMBILAHAN,april,2013,0,0
KOTA PEKANBARU,april,2013,0.34,137.65
KOTA DUMAI,april,2013,0.17,140.85
BUNGO,april,2013,0,0
KOTA JAMBI,april,2013,-0.08,141.91
KOTA PALEMBANG,april,2013,0.04,136.44
KOTA LUBUKLINGGAU,april,2013,0,0
KOTA BENGKULU,april,2013,0.25,146.43
KOTA BANDAR LAMPUNG,april,2013,-0.48,150.6
KOTA METRO,april,2013,0,0
TANJUNG PANDAN,april,2013,0,0
KOTA PANGKAL PINANG,april,2013,0.66,156.14
KOTA BATAM,april,2013,0.18,129.6
KOTA TANJUNG PINANG,april,2013,-0.01,137.42
DKI JAKARTA,april,2013,-0.24,135.87
KOTA BOGOR,april,2013,-0.12,138.6
KOTA SUKABUMI,april,2013,-0.24,137.96
KOTA BANDUNG,april,2013,-0.21,131.27
KOTA CIREBON,april,2013,-0.58,142.06
KOTA BEKASI,april,2013,-0.04,136.12
KOTA DEPOK,april,2013,-0.05,137.59
KOTA TASIKMALAYA,april,2013,-0.43,139.61
CILACAP,april,2013,0,0
PURWOKERTO,april,2013,-0.17,137.15
KUDUS,april,2013,0,0
KOTA SURAKARTA,april,2013,-0.26,128.89
KOTA SEMARANG,april,2013,-0.43,137.54
KOTA TEGAL,april,2013,-0.04,135.71
KOTA YOGYAKARTA,april,2013,-0.3,138.96
JEMBER,april,2013,-0.34,139.19
BANYUWANGI,april,2013,0,0
SUMENEP,april,2013,-0.94,136.47
KOTA KEDIRI,april,2013,-0.09,137.88
KOTA MALANG,april,2013,-0.21,139.35
KOTA PROBOLINGGO,april,2013,-0.82,143.36
KOTA MADIUN,april,2013,-0.37,141.99
KOTA SURABAYA,april,2013,-0.37,138.44
KOTA TANGERANG,april,2013,-0.04,140.1
KOTA CILEGON,april,2013,-0.07,138.66
KOTA SERANG,april,2013,-0.4,144
SINGARAJA,april,2013,0,0
KOTA DENPASAR,april,2013,-0.13,141.51
KOTA MATARAM,april,2013,0.61,152.81
KOTA BIMA,april,2013,-0.82,150.29
MAUMERE,april,2013,-1.2,155.34
KOTA KUPANG,april,2013,-0.8,148.62
KOTA PONTIANAK,april,2013,0.29,149.78
KOTA SINGKAWANG,april,2013,0.64,144.35
SAMPIT,april,2013,0.16,142.45
KOTA PALANGKA RAYA,april,2013,0.12,147.97
TANJUNG,april,2013,0,0
KOTA BANJARMASIN,april,2013,0.04,146.06
KOTA BALIKPAPAN,april,2013,0.11,148
KOTA SAMARINDA,april,2013,0.21,149.39
KOTA TARAKAN,april,2013,0.41,165.63
KOTA MANADO,april,2013,-0.56,136.1
KOTA PALU,april,2013,-0.95,141.91
BULUKUMBA,april,2013,0,0
WATAMPONE,april,2013,0.09,151.42
KOTA MAKASSAR,april,2013,-0.1,137.72
KOTA PARE-PARE,april,2013,-0.09,137.2
KOTA PALOPO,april,2013,-0.54,144.06
KOTA KENDARI,april,2013,0.01,141.43
KOTA BAU-BAU,april,2013,0,0
KOTA GORONTALO,april,2013,-0.16,141.39
MAMUJU,april,2013,-0.48,139.54
KOTA AMBON,april,2013,0.27,141.5
KOTA TUAL,april,2013,0,0
KOTA TERNATE,april,2013,0.13,138.67
MANOKWARI,april,2013,0.39,151.99
KOTA SORONG,april,2013,0.49,157.07
MERAUKE,april,2013,0,0
KOTA JAYAPURA,april,2013,-0.6,133.02
KOTA MEULABOH,mei,2013,0,0
KOTA BANDA ACEH,mei,2013,-0.19,129.1
KOTA LHOKSEUMAWE,mei,2013,0.88,140.25
KOTA SIBOLGA,mei,2013,-0.2,146.64
KOTA PEMATANG SIANTAR,mei,2013,0.34,144.93
KOTA MEDAN,mei,2013,0.34,139.95
KOTA PADANGSIDIMPUAN,mei,2013,-0.44,139
KOTA PADANG,mei,2013,0.64,145.14
KOTA BUKITTINGGI,mei,2013,0,0
TEMBILAHAN,mei,2013,0,0
KOTA PEKANBARU,mei,2013,-0.01,137.63
KOTA DUMAI,mei,2013,0.4,141.42
BUNGO,mei,2013,0,0
KOTA JAMBI,mei,2013,0.56,142.71
KOTA PALEMBANG,mei,2013,-0.41,135.88
KOTA LUBUKLINGGAU,mei,2013,0,0
KOTA BENGKULU,mei,2013,-0.18,146.17
KOTA BANDAR LAMPUNG,mei,2013,-0.4,150
KOTA METRO,mei,2013,0,0
TANJUNG PANDAN,mei,2013,0,0
KOTA PANGKAL PINANG,mei,2013,-0.47,155.4
KOTA BATAM,mei,2013,0.3,129.99
KOTA TANJUNG PINANG,mei,2013,0.27,137.79
DKI JAKARTA,mei,2013,-0.07,135.77
KOTA BOGOR,mei,2013,0.01,138.61
KOTA SUKABUMI,mei,2013,-0.18,137.71
KOTA BANDUNG,mei,2013,0.34,131.72
KOTA CIREBON,mei,2013,-0.23,141.74
KOTA BEKASI,mei,2013,0.48,136.78
KOTA DEPOK,mei,2013,-0.13,137.41
KOTA TASIKMALAYA,mei,2013,-0.01,139.59
CILACAP,mei,2013,0,0
PURWOKERTO,mei,2013,0.06,137.23
KUDUS,mei,2013,0,0
KOTA SURAKARTA,mei,2013,-0.63,128.08
KOTA SEMARANG,mei,2013,-0.17,137.3
KOTA TEGAL,mei,2013,-0.33,135.26
KOTA YOGYAKARTA,mei,2013,-0.29,138.56
JEMBER,mei,2013,-0.68,138.25
BANYUWANGI,mei,2013,0,0
SUMENEP,mei,2013,-0.46,135.84
KOTA KEDIRI,mei,2013,-0.2,137.6
KOTA MALANG,mei,2013,-0.35,138.86
KOTA PROBOLINGGO,mei,2013,-0.07,143.26
KOTA MADIUN,mei,2013,-0.71,140.98
KOTA SURABAYA,mei,2013,-0.07,138.34
KOTA TANGERANG,mei,2013,-0.13,139.92
KOTA CILEGON,mei,2013,0.15,138.87
KOTA SERANG,mei,2013,-0.38,143.46
SINGARAJA,mei,2013,0,0
KOTA DENPASAR,mei,2013,-0.66,140.58
KOTA MATARAM,mei,2013,-1.03,151.24
KOTA BIMA,mei,2013,-0.18,150.02
MAUMERE,mei,2013,0.82,156.61
KOTA KUPANG,mei,2013,-0.86,147.34
KOTA PONTIANAK,mei,2013,1.4,151.87
KOTA SINGKAWANG,mei,2013,-0.23,144.02
SAMPIT,mei,2013,-0.8,141.31
KOTA PALANGKA RAYA,mei,2013,-0.26,147.58
TANJUNG,mei,2013,0,0
KOTA BANJARMASIN,mei,2013,-0.64,145.12
KOTA BALIKPAPAN,mei,2013,0.16,148.23
KOTA SAMARINDA,mei,2013,-0.44,148.74
KOTA TARAKAN,mei,2013,0.81,166.97
KOTA MANADO,mei,2013,-0.15,135.89
KOTA PALU,mei,2013,-0.19,141.64
BULUKUMBA,mei,2013,0,0
WATAMPONE,mei,2013,-0.49,150.68
KOTA MAKASSAR,mei,2013,-0.24,137.39
KOTA PARE-PARE,mei,2013,-0.27,136.83
KOTA PALOPO,mei,2013,-0.32,143.6
KOTA KENDARI,mei,2013,0.74,142.47
KOTA BAU-BAU,mei,2013,0,0
KOTA GORONTALO,mei,2013,-0.42,140.79
MAMUJU,mei,2013,0.45,140.17
KOTA AMBON,mei,2013,2.25,144.68
KOTA TUAL,mei,2013,0,0
KOTA TERNATE,mei,2013,-0.21,138.38
MANOKWARI,mei,2013,0.49,152.73
KOTA SORONG,mei,2013,0.29,157.53
MERAUKE,mei,2013,0,0
KOTA JAYAPURA,mei,2013,0.97,134.31
KOTA MEULABOH,juni,2013,0,0
KOTA BANDA ACEH,juni,2013,1.75,131.36
KOTA LHOKSEUMAWE,juni,2013,0.7,141.23
KOTA SIBOLGA,juni,2013,1.96,149.51
KOTA PEMATANG SIANTAR,juni,2013,1.22,146.7
KOTA MEDAN,juni,2013,1.28,141.74
KOTA PADANGSIDIMPUAN,juni,2013,0.86,140.19
KOTA PADANG,juni,2013,1.4,147.17
KOTA BUKITTINGGI,juni,2013,0,0
TEMBILAHAN,juni,2013,0,0
KOTA PEKANBARU,juni,2013,0.97,138.96
KOTA DUMAI,juni,2013,1.39,143.38
BUNGO,juni,2013,0,0
KOTA JAMBI,juni,2013,1.33,144.61
KOTA PALEMBANG,juni,2013,1.18,137.48
KOTA LUBUKLINGGAU,juni,2013,0,0
KOTA BENGKULU,juni,2013,1.72,148.69
KOTA BANDAR LAMPUNG,juni,2013,0.79,151.19
KOTA METRO,juni,2013,0,0
TANJUNG PANDAN,juni,2013,0,0
KOTA PANGKAL PINANG,juni,2013,1.11,157.12
KOTA BATAM,juni,2013,0.72,130.92
KOTA TANJUNG PINANG,juni,2013,0.71,138.77
DKI JAKARTA,juni,2013,0.93,137.03
KOTA BOGOR,juni,2013,1.6,140.83
KOTA SUKABUMI,juni,2013,1.49,139.76
KOTA BANDUNG,juni,2013,1.29,133.42
KOTA CIREBON,juni,2013,1.4,143.73
KOTA BEKASI,juni,2013,1.48,138.81
KOTA DEPOK,juni,2013,1.79,139.87
KOTA TASIKMALAYA,juni,2013,0.85,140.78
CILACAP,juni,2013,0,0
PURWOKERTO,juni,2013,1.48,139.26
KUDUS,juni,2013,0,0
KOTA SURAKARTA,juni,2013,1.16,129.56
KOTA SEMARANG,juni,2013,0.86,138.48
KOTA TEGAL,juni,2013,0.79,136.33
KOTA YOGYAKARTA,juni,2013,0.84,139.72
JEMBER,juni,2013,0.78,139.33
BANYUWANGI,juni,2013,0,0
SUMENEP,juni,2013,0.88,137.03
KOTA KEDIRI,juni,2013,0.89,138.82
KOTA MALANG,juni,2013,0.91,140.13
KOTA PROBOLINGGO,juni,2013,0.93,144.59
KOTA MADIUN,juni,2013,0.78,142.08
KOTA SURABAYA,juni,2013,0.55,139.1
KOTA TANGERANG,juni,2013,1.59,142.14
KOTA CILEGON,juni,2013,0.72,139.87
KOTA SERANG,juni,2013,1.74,145.96
SINGARAJA,juni,2013,0,0
KOTA DENPASAR,juni,2013,0.47,141.24
KOTA MATARAM,juni,2013,0.91,152.62
KOTA BIMA,juni,2013,1.42,152.15
MAUMERE,juni,2013,0.43,157.29
KOTA KUPANG,juni,2013,1.55,149.62
KOTA PONTIANAK,juni,2013,0.22,152.2
KOTA SINGKAWANG,juni,2013,0.22,144.34
SAMPIT,juni,2013,1.15,142.93
KOTA PALANGKA RAYA,juni,2013,0.74,148.67
TANJUNG,juni,2013,0,0
KOTA BANJARMASIN,juni,2013,0.41,145.71
KOTA BALIKPAPAN,juni,2013,0.74,149.33
KOTA SAMARINDA,juni,2013,1.31,150.69
KOTA TARAKAN,juni,2013,1.46,169.4
KOTA MANADO,juni,2013,0.21,136.17
KOTA PALU,juni,2013,0.88,142.88
BULUKUMBA,juni,2013,0,0
WATAMPONE,juni,2013,0.82,151.92
KOTA MAKASSAR,juni,2013,0.55,138.15
KOTA PARE-PARE,juni,2013,0.54,137.57
KOTA PALOPO,juni,2013,0.46,144.26
KOTA KENDARI,juni,2013,1.19,144.16
KOTA BAU-BAU,juni,2013,0,0
KOTA GORONTALO,juni,2013,0.11,140.95
MAMUJU,juni,2013,0.44,140.78
KOTA AMBON,juni,2013,-0.15,144.46
KOTA TUAL,juni,2013,0,0
KOTA TERNATE,juni,2013,0.22,138.68
MANOKWARI,juni,2013,1.01,154.27
KOTA SORONG,juni,2013,1.17,159.38
MERAUKE,juni,2013,0,0
KOTA JAYAPURA,juni,2013,0.52,135.01
KOTA MEULABOH,juli,2013,0,0
KOTA BANDA ACEH,juli,2013,1.8,133.73
KOTA LHOKSEUMAWE,juli,2013,1.87,143.87
KOTA SIBOLGA,juli,2013,1.71,152.06
KOTA PEMATANG SIANTAR,juli,2013,2.52,150.4
KOTA MEDAN,juli,2013,2.74,145.62
KOTA PADANGSIDIMPUAN,juli,2013,3.7,145.38
KOTA PADANG,juli,2013,2.75,151.22
KOTA BUKITTINGGI,juli,2013,0,0
TEMBILAHAN,juli,2013,0,0
KOTA PEKANBARU,juli,2013,1.96,141.68
KOTA DUMAI,juli,2013,1.91,146.12
BUNGO,juli,2013,0,0
KOTA JAMBI,juli,2013,3.25,149.31
KOTA PALEMBANG,juli,2013,2.92,141.49
KOTA LUBUKLINGGAU,juli,2013,0,0
KOTA BENGKULU,juli,2013,3.4,153.74
KOTA BANDAR LAMPUNG,juli,2013,2.75,155.35
KOTA METRO,juli,2013,0,0
TANJUNG PANDAN,juli,2013,0,0
KOTA PANGKAL PINANG,juli,2013,3.25,162.22
KOTA BATAM,juli,2013,2.16,133.75
KOTA TANJUNG PINANG,juli,2013,3.68,143.87
DKI JAKARTA,juli,2013,3.16,141.36
KOTA BOGOR,juli,2013,4.46,147.11
KOTA SUKABUMI,juli,2013,3.11,144.1
KOTA BANDUNG,juli,2013,3.1,137.56
KOTA CIREBON,juli,2013,3.24,148.38
KOTA BEKASI,juli,2013,4.06,144.44
KOTA DEPOK,juli,2013,4.58,146.27
KOTA TASIKMALAYA,juli,2013,2.84,144.78
CILACAP,juli,2013,0,0
PURWOKERTO,juli,2013,2.84,143.21
KUDUS,juli,2013,0,0
KOTA SURAKARTA,juli,2013,3.91,134.63
KOTA SEMARANG,juli,2013,3.5,143.32
KOTA TEGAL,juli,2013,2.38,139.58
KOTA YOGYAKARTA,juli,2013,2.58,143.33
JEMBER,juli,2013,3.09,143.63
BANYUWANGI,juli,2013,0,0
SUMENEP,juli,2013,3.84,142.29
KOTA KEDIRI,juli,2013,3.26,143.35
KOTA MALANG,juli,2013,3.49,145.02
KOTA PROBOLINGGO,juli,2013,3.13,149.11
KOTA MADIUN,juli,2013,3.6,147.2
KOTA SURABAYA,juli,2013,2.67,142.81
KOTA TANGERANG,juli,2013,4.45,148.47
KOTA CILEGON,juli,2013,2.96,144.01
KOTA SERANG,juli,2013,3.56,151.16
SINGARAJA,juli,2013,0,0
KOTA DENPASAR,juli,2013,2.81,145.21
KOTA MATARAM,juli,2013,4.55,159.56
KOTA BIMA,juli,2013,3.83,157.98
MAUMERE,juli,2013,2.83,161.74
KOTA KUPANG,juli,2013,4.98,157.07
KOTA PONTIANAK,juli,2013,3.36,157.32
KOTA SINGKAWANG,juli,2013,1.36,146.3
SAMPIT,juli,2013,2.66,146.73
KOTA PALANGKA RAYA,juli,2013,2.09,151.77
TANJUNG,juli,2013,0,0
