City,Month,Year,Inflation,CPI
MAUMERE,maret,2008,3.64,107.61
KOTA KUPANG,maret,2008,0.34,171.05
KOTA PONTIANAK,maret,2008,1.78,159.23
KOTA SINGKAWANG,maret,2008,0.93,107.72
SAMPIT,maret,2008,-0.77,150.51
KOTA PALANGKA RAYA,maret,2008,-0.27,159.98
TANJUNG,maret,2008,0,0
KOTA BANJARMASIN,maret,2008,0.82,168.93
KOTA BALIKPAPAN,maret,2008,1.51,167.76
KOTA SAMARINDA,maret,2008,1.43,165.99
KOTA TARAKAN,maret,2008,1.65,110.3
KOTA MANADO,maret,2008,1.23,157.53
KOTA PALU,maret,2008,-0.31,167.75
BULUKUMBA,maret,2008,0,0
WATAMPONE,maret,2008,-0.58,109.87
KOTA MAKASSAR,maret,2008,1.03,155.23
KOTA PARE-PARE,maret,2008,2.04,143.01
KOTA PALOPO,maret,2008,2.6,110.9
KOTA KENDARI,maret,2008,1.02,174.28
KOTA BAU-BAU,maret,2008,0,0
KOTA GORONTALO,maret,2008,0.3,155.83
MAMUJU,maret,2008,1.13,108.38
KOTA AMBON,maret,2008,-2.73,148.07
KOTA TUAL,maret,2008,0,0
KOTA TERNATE,maret,2008,1.76,167.79
MANOKWARI,maret,2008,-0.23,105.91
KOTA SORONG,maret,2008,2.11,108.12
MERAUKE,maret,2008,0,0
KOTA JAYAPURA,maret,2008,0.16,185.37
KOTA MEULABOH,april,2008,0,0
KOTA BANDA ACEH,april,2008,-0.8,205.6
KOTA LHOKSEUMAWE,april,2008,-0.91,163.93
KOTA SIBOLGA,april,2008,-0.62,165.64
KOTA PEMATANG SIANTAR,april,2008,0.48,162.18
KOTA MEDAN,april,2008,0.21,168.02
KOTA PADANGSIDIMPUAN,april,2008,0.24,171.97
KOTA PADANG,april,2008,0.09,167.4
KOTA BUKITTINGGI,april,2008,0,0
TEMBILAHAN,april,2008,0,0
KOTA PEKANBARU,april,2008,-0.21,109.6
KOTA DUMAI,april,2008,0.55,107.13
BUNGO,april,2008,0,0
KOTA JAMBI,april,2008,0.57,169.01
KOTA PALEMBANG,april,2008,2.38,179.71
KOTA LUBUKLINGGAU,april,2008,0,0
KOTA BENGKULU,april,2008,0.22,165.49
KOTA BANDAR LAMPUNG,april,2008,0.07,163.9
KOTA METRO,april,2008,0,0
TANJUNG PANDAN,april,2008,0,0
KOTA PANGKAL PINANG,april,2008,1,166.17
KOTA BATAM,april,2008,0.53,143.77
KOTA TANJUNG PINANG,april,2008,0.89,107.13
DKI JAKARTA,april,2008,0.79,157.82
KOTA BOGOR,april,2008,0.17,108.31
KOTA SUKABUMI,april,2008,0.2,105.87
KOTA BANDUNG,april,2008,0.51,163.23
KOTA CIREBON,april,2008,0.08,154.64
KOTA BEKASI,april,2008,1.24,106.07
KOTA DEPOK,april,2008,0.29,106.44
KOTA TASIKMALAYA,april,2008,0.5,170.19
CILACAP,april,2008,0,0
PURWOKERTO,april,2008,0.36,156.42
KUDUS,april,2008,0,0
KOTA SURAKARTA,april,2008,0.12,144.31
KOTA SEMARANG,april,2008,0.46,164.26
KOTA TEGAL,april,2008,0.1,162.29
KOTA YOGYAKARTA,april,2008,0.21,168.04
JEMBER,april,2008,0.48,160.2
BANYUWANGI,april,2008,0,0
SUMENEP,april,2008,0.42,103.39
KOTA KEDIRI,april,2008,0.89,158.01
KOTA MALANG,april,2008,1.54,159.1
KOTA PROBOLINGGO,april,2008,1.44,108.87
KOTA MADIUN,april,2008,0.64,157.86
KOTA SURABAYA,april,2008,0.79,157.86
KOTA TANGERANG,april,2008,0.1,106.58
KOTA CILEGON,april,2008,0.51,106.17
KOTA SERANG,april,2008,0.22,164.04
SINGARAJA,april,2008,0,0
KOTA DENPASAR,april,2008,0.11,150
KOTA MATARAM,april,2008,0.13,156.12
KOTA BIMA,april,2008,0.32,107.03
MAUMERE,april,2008,0.65,108.31
KOTA KUPANG,april,2008,0.43,171.78
KOTA PONTIANAK,april,2008,0.26,159.64
KOTA SINGKAWANG,april,2008,0.15,107.88
SAMPIT,april,2008,0.08,150.63
KOTA PALANGKA RAYA,april,2008,-0.09,159.83
TANJUNG,april,2008,0,0
KOTA BANJARMASIN,april,2008,-0.18,168.63
KOTA BALIKPAPAN,april,2008,0.72,168.96
KOTA SAMARINDA,april,2008,0.55,166.91
KOTA TARAKAN,april,2008,0.38,110.72
KOTA MANADO,april,2008,0.31,158.02
KOTA PALU,april,2008,0.56,168.69
BULUKUMBA,april,2008,0,0
WATAMPONE,april,2008,1.16,111.14
KOTA MAKASSAR,april,2008,0.05,155.3
KOTA PARE-PARE,april,2008,0.11,143.77
KOTA PALOPO,april,2008,-0.13,110.76
KOTA KENDARI,april,2008,0.44,175.05
KOTA BAU-BAU,april,2008,0,0
KOTA GORONTALO,april,2008,-0.1,155.68
MAMUJU,april,2008,0.41,108.82
KOTA AMBON,april,2008,1.82,150.76
KOTA TUAL,april,2008,0,0
KOTA TERNATE,april,2008,0.45,168.54
MANOKWARI,april,2008,0.08,105.99
KOTA SORONG,april,2008,1.13,109.34
MERAUKE,april,2008,0,0
