City,Month,Year,Inflation
KOTA KENDARI,februari,2008,-0.07
KOTA BAU-BAU,februari,2008,0.0
KOTA GORONTALO,februari,2008,-0.96
MAMUJU,februari,2008,0.8
KOTA AMBON,februari,2008,1.83
KOTA TUAL,februari,2008,0.0
KOTA TERNATE,februari,2008,1.18
MANOKWARI,februari,2008,1.55
KOTA SORONG,februari,2008,-1.89
MERAUKE,februari,2008,0.0
KOTA JAYAPURA,februari,2008,2.9
KOTA MEULABOH,maret,2008,0.0
KOTA BANDA ACEH,maret,2008,-0.76
KOTA LHOKSEUMAWE,maret,2008,1.13
KOTA SIBOLGA,maret,2008,1.6
KOTA PEMATANG SIANTAR,maret,2008,0.96
KOTA MEDAN,maret,2008,0.9
KOTA PADANGSIDIMPUAN,maret,2008,0.73
KOTA PADANG,maret,2008,1.43
KOTA BUKITTINGGI,maret,2008,0.0
TEMBILAHAN,maret,2008,0.0
KOTA PEKANBARU,maret,2008,1.03
KOTA DUMAI,maret,2008,1.19
BUNGO,maret,2008,0.0
KOTA JAMBI,maret,2008,1.09
KOTA PALEMBANG,maret,2008,1.83
KOTA LUBUKLINGGAU,maret,2008,0.0
KOTA BENGKULU,maret,2008,1.96
KOTA BANDAR LAMPUNG,maret,2008,1.15
KOTA METRO,maret,2008,0.0
TANJUNG PANDAN,maret,2008,0.0
KOTA PANGKAL PINANG,maret,2008,0.05
KOTA BATAM,maret,2008,0.82
KOTA TANJUNG PINANG,maret,2008,1.49
DKI JAKARTA,maret,2008,0.82
KOTA BOGOR,maret,2008,1.0
KOTA SUKABUMI,maret,2008,0.78
KOTA BANDUNG,maret,2008,0.6
KOTA CIREBON,maret,2008,0.91
KOTA BEKASI,maret,2008,0.07
KOTA DEPOK,maret,2008,0.45
KOTA TASIKMALAYA,maret,2008,0.21
CILACAP,maret,2008,0.0
PURWOKERTO,maret,2008,1.43
KUDUS,maret,2008,0.0
KOTA SURAKARTA,maret,2008,0.36
KOTA SEMARANG,maret,2008,1.47
KOTA TEGAL,maret,2008,0.51
KOTA YOGYAKARTA,maret,2008,0.56
JEMBER,maret,2008,0.28
BANYUWANGI,maret,2008,0.0
SUMENEP,maret,2008,-0.36
KOTA KEDIRI,maret,2008,0.95
KOTA MALANG,maret,2008,1.44
KOTA PROBOLINGGO,maret,2008,1.45
KOTA MADIUN,maret,2008,1.3
KOTA SURABAYA,maret,2008,1.52
KOTA TANGERANG,maret,2008,0.44
KOTA CILEGON,maret,2008,0.5
KOTA SERANG,maret,2008,0.88
SINGARAJA,maret,2008,0.0
KOTA DENPASAR,maret,2008,0.36
KOTA MATARAM,maret,2008,0.41
KOTA BIMA,maret,2008,-0.52
MAUMERE,maret,2008,3.64
KOTA KUPANG,maret,2008,0.34
KOTA PONTIANAK,maret,2008,1.78
KOTA SINGKAWANG,maret,2008,0.93
SAMPIT,maret,2008,-0.77
KOTA PALANGKA RAYA,maret,2008,-0.27
TANJUNG,maret,2008,0.0
KOTA BANJARMASIN,maret,2008,0.82
KOTA BALIKPAPAN,maret,2008,1.51
KOTA SAMARINDA,maret,2008,1.43
KOTA TARAKAN,maret,2008,1.65
KOTA MANADO,maret,2008,1.23
KOTA PALU,maret,2008,-0.31
BULUKUMBA,maret,2008,0.0
WATAMPONE,maret,2008,-0.58
KOTA MAKASSAR,maret,2008,1.03
KOTA PARE-PARE,maret,2008,2.04
KOTA PALOPO,maret,2008,2.6
KOTA KENDARI,maret,2008,1.02
KOTA BAU-BAU,maret,2008,0.0
KOTA GORONTALO,maret,2008,0.3
MAMUJU,maret,2008,1.13
KOTA AMBON,maret,2008,-2.73
KOTA TUAL,maret,2008,0.0
KOTA TERNATE,maret,2008,1.76
MANOKWARI,maret,2008,-0.23
KOTA SORONG,maret,2008,2.11
MERAUKE,maret,2008,0.0
KOTA JAYAPURA,maret,2008,0.16
KOTA MEULABOH,april,2008,0.0
KOTA BANDA ACEH,april,2008,-0.8
KOTA LHOKSEUMAWE,april,2008,-0.91
KOTA SIBOLGA,april,2008,-0.62
KOTA PEMATANG SIANTAR,april,2008,0.48
KOTA MEDAN,april,2008,0.21
KOTA PADANGSIDIMPUAN,april,2008,0.24
KOTA PADANG,april,2008,0.09
KOTA BUKITTINGGI,april,2008,0.0
TEMBILAHAN,april,2008,0.0
KOTA PEKANBARU,april,2008,-0.21
